company,totalyearlycompensation,yearsofexperience,yearsatcompany,gender,Race,Education
Google,184000,1,0,Male,Two Or More,Master's Degree
Google,369000,10,0,Male,Black,Master's Degree
Amazon,267000,5,4,Male,Asian,Bachelor's Degree
Google,178000,4,1,Male,Asian,Master's Degree
Apple,247000,12,4,Male,Asian,Master's Degree
Google,168000,7,0,Female,White,Some College
Microsoft,85000,3,3,Male,Hispanic,Bachelor's Degree
Amazon,215000,3,3,Male,White,Master's Degree
Amazon,106000,0,0,Male,White,Master's Degree
Amazon,142000,0,0,Male,Asian,Bachelor's Degree
Facebook,98000,7,0,Male,White,Highschool
Google,270000,4,2,Male,Asian,Bachelor's Degree
Facebook,258000,16,2,Female,Black,Master's Degree
Amazon,320000,3,0,Female,Asian,Bachelor's Degree
Amazon,172000,8,2,Male,White,Bachelor's Degree
Microsoft,183000,7,7,Male,Two Or More,Bachelor's Degree
Apple,238000,7,0,Male,Asian,Bachelor's Degree
Amazon,110000,8,2,Male,White,Master's Degree
Facebook,400000,4,4,Male,Asian,Bachelor's Degree
Amazon,396000,8,8,Male,Asian,PhD
Facebook,231000,4,2,Male,Asian,Bachelor's Degree
Amazon,330000,11,3,Male,White,Bachelor's Degree
Microsoft,35000,8,4,Male,Asian,Bachelor's Degree
Apple,185000,2,2,Female,Two Or More,Bachelor's Degree
Oracle,190000,15,3,Male,White,Bachelor's Degree
Amazon,359000,20,1,Male,White,PhD
Amazon,234000,20,1,Female,Black,Bachelor's Degree
Facebook,247000,2,2,Male,Asian,Bachelor's Degree
Amazon,320000,9,5,Male,Hispanic,PhD
Google,184000,2,1,Female,Two Or More,Bachelor's Degree
Microsoft,571000,19,12,Male,Asian,Master's Degree
Facebook,380000,10,0,Male,Asian,Master's Degree
Facebook,510000,20,7,Male,White,Some College
Apple,181000,0,0,Male,Hispanic,Master's Degree
Amazon,138000,10,2,Male,Asian,Master's Degree
Amazon,350000,3,0,Male,Asian,Bachelor's Degree
Google,130000,5,3,Male,Asian,Bachelor's Degree
Amazon,240000,6,0,Male,Asian,Master's Degree
Microsoft,228000,15,4,Male,Asian,Master's Degree
Google,279000,4,0,Male,Asian,Master's Degree
Amazon,256000,6,5,Male,Asian,Master's Degree
Apple,216000,4,0,Male,Asian,Bachelor's Degree
